timestamp,distance_raw,signal_strength,temperature,distance_ref
2026-01-11T19:57:33.031447,1040.15,116,32.8,1000
2026-01-11T19:57:33.131447,100.7,105,25.1,100
2026-01-11T19:57:33.231447,98.35,161,23.8,100
2026-01-11T19:57:33.331447,511.79,131,34.7,500
2026-01-11T19:57:33.431447,1523.15,167,33.7,1500
2026-01-11T19:57:33.531447,101.19,81,32.9,100
2026-01-11T19:57:33.631447,1497.44,170,23.4,1500
2026-01-11T19:57:33.731447,1455.04,78,27.8,1500
2026-01-11T19:57:33.831447,202.82,111,21.4,200
2026-01-11T19:57:33.931447,1008.53,103,27.7,1000
2026-01-11T19:57:34.031447,198.76,118,32.7,200
2026-01-11T19:57:34.131447,1546.93,155,22.9,1500
2026-01-11T19:57:34.231447,988.84,145,30.9,1000
2026-01-11T19:57:34.331447,102.51,146,20.7,100
2026-01-11T19:57:34.431447,515.17,91,24.6,500
2026-01-11T19:57:34.531447,983.53,164,22.8,1000
2026-01-11T19:57:34.631447,494.9,124,31.8,500
2026-01-11T19:57:34.731447,101.73,104,21.4,100
2026-01-11T19:57:34.831447,1559.41,149,25.6,1500
2026-01-11T19:57:34.931447,498.36,70,25.0,500
2026-01-11T19:57:35.031447,995.65,137,21.9,1000
2026-01-11T19:57:35.131447,1029.88,70,34.2,1000
2026-01-11T19:57:35.231447,1541.24,120,33.3,1500
2026-01-11T19:57:35.331447,100.18,124,20.5,100
2026-01-11T19:57:35.431447,199.19,65,34.4,200
2026-01-11T19:57:35.531447,101.33,70,35.0,100
2026-01-11T19:57:35.631447,202.19,133,28.4,200
2026-01-11T19:57:35.731447,200.58,81,30.7,200
2026-01-11T19:57:35.831447,492.12,124,23.2,500
2026-01-11T19:57:35.931447,1015.14,113,24.4,1000
2026-01-11T19:57:36.031447,495.72,96,28.4,500
2026-01-11T19:57:36.131447,100.59,122,32.9,100
2026-01-11T19:57:36.231447,987.89,133,33.1,1000
2026-01-11T19:57:36.331447,1505.72,91,22.7,1500
2026-01-11T19:57:36.431447,485.67,131,25.4,500
2026-01-11T19:57:36.531447,198.52,141,25.4,200
2026-01-11T19:57:36.631447,199.69,110,25.5,200
2026-01-11T19:57:36.731447,102.54,145,34.9,100
2026-01-11T19:57:36.831447,512.5,103,22.3,500
2026-01-11T19:57:36.931447,1472.92,90,31.8,1500
2026-01-11T19:57:37.031447,499.05,170,29.7,500
2026-01-11T19:57:37.131447,948.2,149,28.9,1000
2026-01-11T19:57:37.231447,508.33,128,28.4,500
2026-01-11T19:57:37.331447,100.5,102,28.3,100
2026-01-11T19:57:37.431447,195.89,143,25.2,200
2026-01-11T19:57:37.531447,998.13,124,31.8,1000
2026-01-11T19:57:37.631447,207.8,107,25.3,200
2026-01-11T19:57:37.731447,100.54,121,20.3,100
2026-01-11T19:57:37.831447,1576.61,105,29.0,1500
2026-01-11T19:57:37.931447,99.44,136,34.6,100
2026-01-11T19:57:38.031447,991.27,80,30.7,1000
