epoch,loss,accuracy,val_loss,val_accuracy
1,1.5393223762512207,0.2982954680919647,1.4110034704208374,0.4399999976158142
2,1.3378113508224487,0.4744318127632141,1.2417404651641846,0.46666666865348816
3,1.163619875907898,0.5056818127632141,1.0952856540679932,0.5066666603088379
4,1.0224357843399048,0.5142045617103577,0.9779875874519348,0.5066666603088379
5,0.9127687811851501,0.5681818127632141,0.8807820677757263,0.5866666436195374
6,0.8261200189590454,0.6193181872367859,0.809262752532959,0.6399999856948853
7,0.7665672302246094,0.6931818127632141,0.7499152421951294,0.7200000286102295
8,0.705583930015564,0.7443181872367859,0.6928938031196594,0.7066666483879089
9,0.6587477326393127,0.7130681872367859,0.6542214155197144,0.7599999904632568
10,0.6126899123191833,0.7556818127632141,0.6047555804252625,0.7333333492279053
11,0.5606665015220642,0.78125,0.5668942332267761,0.8133333325386047
12,0.5465924739837646,0.7727272510528564,0.5300319194793701,0.7733333110809326
13,0.49811896681785583,0.8011363744735718,0.4974237084388733,0.800000011920929
14,0.4714982211589813,0.8125,0.4682576358318329,0.8399999737739563
15,0.461519330739975,0.8011363744735718,0.44797348976135254,0.800000011920929
16,0.42160454392433167,0.8323863744735718,0.4162168800830841,0.7866666913032532
17,0.4007423222064972,0.8238636255264282,0.3968897759914398,0.8133333325386047
18,0.3676770329475403,0.8494318127632141,0.37584444880485535,0.8666666746139526
19,0.3554050624370575,0.8607954382896423,0.3598378896713257,0.8399999737739563
20,0.35592466592788696,0.8465909361839294,0.34807178378105164,0.8533333539962769
21,0.32985347509384155,0.8494318127632141,0.331473171710968,0.8933333158493042
22,0.3208184242248535,0.8664772510528564,0.31098899245262146,0.8933333158493042
23,0.28397905826568604,0.9034090638160706,0.3065664768218994,0.9066666960716248
24,0.29169365763664246,0.8863636255264282,0.29283782839775085,0.8533333539962769
25,0.2685895264148712,0.90625,0.2730814516544342,0.9200000166893005
26,0.2479531615972519,0.9119318127632141,0.2620852291584015,0.9200000166893005
27,0.2502498924732208,0.9034090638160706,0.251853346824646,0.9200000166893005
28,0.23515325784683228,0.90625,0.23626892268657684,0.9333333373069763
29,0.24015751481056213,0.8863636255264282,0.23498865962028503,0.9333333373069763
30,0.22287225723266602,0.9261363744735718,0.22327452898025513,0.9466666579246521
31,0.22131863236427307,0.9232954382896423,0.2118363082408905,0.9200000166893005
32,0.20336151123046875,0.9289772510528564,0.20363090932369232,0.9866666793823242
33,0.20736046135425568,0.9204545617103577,0.20339398086071014,0.9200000166893005
34,0.20692704617977142,0.9232954382896423,0.17944274842739105,0.9733333587646484
35,0.17339664697647095,0.9517045617103577,0.1690499186515808,1.0
36,0.16749177873134613,0.9602272510528564,0.1683901697397232,0.9333333373069763
37,0.17236381769180298,0.9602272510528564,0.15393012762069702,1.0
38,0.1621752828359604,0.9545454382896423,0.15176627039909363,0.9599999785423279
39,0.15947352349758148,0.9602272510528564,0.14135655760765076,1.0
40,0.17670200765132904,0.9232954382896423,0.13060270249843597,0.9866666793823242
41,0.15521444380283356,0.9517045617103577,0.13300777971744537,0.9733333587646484
42,0.15880732238292694,0.9460227489471436,0.11687955260276794,1.0
43,0.121534064412117,0.9744318127632141,0.10660277307033539,1.0
44,0.13312730193138123,0.9715909361839294,0.09946312010288239,1.0
45,0.1239243745803833,0.96875,0.0924610123038292,1.0
46,0.11425049602985382,0.9829545617103577,0.09041909873485565,1.0
47,0.1062517836689949,0.9772727489471436,0.08099964261054993,1.0
48,0.1030024066567421,0.9744318127632141,0.08124368637800217,1.0
49,0.09950811415910721,0.9772727489471436,0.08914963901042938,1.0
50,0.09226496517658234,0.9772727489471436,0.08351251482963562,1.0
